Year,Month,Day,NowCast Conc.,AQI,Raw Conc.
2021,1,1,79.087,160,82
2021,1,2,130.646,192,130
2021,1,3,123.088,189,123
2021,1,4,119.075,185,122
2021,1,5,181.267,235,177
2021,1,6,109.267,179,111
2021,1,7,95.125,165,90
2021,1,8,21.871,72,22
2021,1,9,40.329,113,41
2021,1,10,51.025,129,53
2021,1,11,56.318,138,55
2021,1,12,54.263,139,55
2021,1,13,97.133,172,97
2021,1,14,109.979,180,111
2021,1,15,142.454,201,145
2021,1,16,163.746,218,167
2021,1,17,105.692,178,99
2021,1,18,59.938,140,62
2021,1,19,89.808,169,89
2021,1,20,126.017,191,129
2021,1,21,170.458,223,175
2021,1,22,148.921,205,142
2021,1,23,150.921,204,152
2021,1,24,123.983,189,122
2021,1,25,68.288,156,65
2021,1,26,43.654,121,44
2021,1,27,38.917,110,38
2021,1,28,43.992,117,45
2021,1,29,77.758,162,80
2021,1,30,111.404,181,115
2021,1,31,94.538,169,89
2021,2,1,43.817,121,44
2021,2,2,39.579,110,41
2021,2,3,48.371,128,47
2021,2,4,45.329,122,47
2021,2,5,47.425,128,47
2021,2,6,49.879,136,53
2021,2,7,56.937,145,56
2021,2,8,62.933,142,62
2021,2,9,24.129,77,25
2021,2,10,53.85,137,56
2021,2,11,39.358,110,37
2021,2,12,37.325,105,37
2021,2,13,33.442,97,33
2021,2,14,43.438,117,44
2021,2,15,44.1,122,44
2021,2,16,45.142,119,47
2021,2,17,41.329,114,40
2021,2,18,59.571,136,63
2021,2,19,77.942,163,77
2021,2,20,65.275,153,64
2021,2,21,52.825,140,51
2021,2,22,43.529,116,43
2021,2,23,45.354,120,46
2021,2,24,33.992,98,33
2021,2,25,29.075,87,29
2021,2,26,31.875,94,32
2021,2,27,38.25,107,39
2021,2,28,49.525,133,49
2021,3,1,45.483,122,46
2021,3,2,35.083,101,35
2021,3,3,63.346,155,63
2021,3,4,54.042,138,54
2021,3,5,37.471,107,37
2021,3,6,43.458,119,44
2021,3,7,44.321,121,45
2021,3,8,55.088,141,55
2021,3,9,25.438,79,25
2021,3,10,23.708,75,24
2021,3,11,28.317,85,29
2021,3,12,34.8,100,35
2021,3,13,42.479,118,43
2021,3,14,44.854,124,43
2021,3,15,33.463,96,33
2021,3,16,29.683,88,30
2021,3,17,32.908,96,33
2021,3,18,33.096,96,33
2021,3,19,28.179,85,28
2021,3,20,23.988,76,24
2021,3,21,22.608,73,23
2021,3,22,40.008,110,42
2021,3,23,71.538,159,72
2021,3,24,90.446,169,91
2021,3,25,87.121,167,86
2021,3,26,41.482,116,40
2021,3,27,23.821,76,24
2021,3,28,22.917,74,23
2021,3,29,50.508,135,51
2021,3,30,48.279,132,48
2021,3,31,43.733,119,44
2021,4,1,38.375,108,38
2021,4,2,28.6,86,29
2021,4,3,28.663,86,29
2021,4,4,41.863,117,42
2021,4,5,50.763,121,53
2021,4,6,60.2,136,58
2021,4,7,35.442,101,35
2021,4,8,30.963,91,31
2021,4,9,32.133,94,33
2021,4,10,52.483,132,53
2021,4,11,57.367,129,56
2021,4,12,23.883,76,24
2021,4,13,21.525,71,21
2021,4,14,23.108,74,23
2021,4,15,20.85,69,21
2021,4,16,21.342,71,22
2021,4,17,23.983,76,24
2021,4,18,40.9,111,43
2021,4,19,29.692,88,28
2021,4,20,21.608,71,21
2021,4,21,22.413,73,23
2021,4,22,22.379,73,22
2021,4,23,21.309,70,22
2021,4,24,27.604,84,28
2021,4,25,23.021,74,22
2021,4,26,24.425,77,25
2021,4,27,39.45,108,40
2021,4,28,36.613,101,36
2021,4,29,23.629,76,25
2021,4,30,41.629,116,41
2021,5,1,36.108,103,36
2021,5,2,24.675,78,25
2021,5,3,20.054,68,20
2021,5,4,22.7,73,23
2021,5,5,18.238,64,18
2021,5,6,32.525,96,33
2021,5,7,30.58,90,30
2021,5,8,27.038,83,27
2021,5,9,22.713,73,23
2021,5,10,28.063,85,28
2021,5,11,30.417,91,30
2021,5,12,27.442,83,28
2021,5,13,27.229,84,27
2021,5,14,21.425,71,21
2021,5,15,22.383,72,23
2021,5,16,27.517,84,27
2021,5,17,18.492,64,18
2021,5,18,14.588,54,15
2021,5,19,22.713,73,23
2021,5,20,26.088,81,26
2021,5,21,26.879,82,27
2021,5,22,24.929,78,26
2021,5,23,21.583,71,21
2021,5,24,14.688,54,15
2021,5,25,18.408,64,19
2021,5,26,35.146,99,35
2021,5,27,16.917,61,17
2021,5,28,28.654,74,23
2021,5,29,34.421,98,36
2021,5,30,34.188,92,36
2021,5,31,40.204,103,40
2021,6,1,34.208,92,34
2021,6,2,43.275,107,44
2021,6,3,56.438,119,59
2021,6,4,33.105,87,28
2021,6,5,49.517,127,55
2021,6,6,111.483,180,108
2021,6,7,41.3,116,40
2021,6,8,29.054,87,29
2021,6,9,27.433,84,28
2021,6,10,23.246,75,23
2021,6,11,19.621,66,20
2021,6,12,22.479,73,23
2021,6,13,10.571,40,11
2021,6,14,17.963,63,18
2021,6,15,17.967,61,19
2021,6,16,19.704,65,19
2021,6,17,19.721,67,20
2021,6,18,17.717,62,18
2021,6,19,18.296,62,18
2021,6,20,17.354,61,18
2021,6,21,25.238,79,26
2021,6,22,47.313,128,47
2021,6,23,21.467,69,22
2021,6,24,27.292,83,28
2021,6,25,30.117,89,29
2021,6,26,10.608,44,10
2021,6,27,15.458,57,16
2021,6,28,14.7,55,15
2021,6,29,18.254,63,18
2021,6,30,15.764,58,16
